version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v1_hallucination,student,tools.yaml,v1,,,fix,Nếu thêm cảnh báo BẮT BUỘC dùng clarify khi thiếu ID và cấm tự đoán ID vào tools.yaml thì lỗi hallucination ID sẽ giảm.,routing_accuracy,,,
v1_confirmation,student,tools.yaml,v1,,,fix,Nếu quy định rõ trong create_ticket là phải dùng clarify để xin phép trước thì model sẽ không tự ý gán confirmed=true.,routing_accuracy,,,
v1_external_leak,student,tools.yaml,v1,,,fix,Nếu nhắc nhở trong search_device_info về việc bóc tách dữ liệu nội bộ thì model sẽ không làm lọt asset_id ra ngoài mạng.,routing_accuracy,,,
v1_clarify_usage,student,tools.yaml,v1,,,fix,Cụ thể hoá các tình huống cần gọi tool clarify sẽ giúp model chọn đúng tool này thay vì trả lời suông hoặc đoán bừa.,routing_accuracy,,,
v3_format_report,student,tools.yaml,v3,,,fix,Cấm LLM tự sinh JSON và ép gọi format_incident_report sẽ sửa lỗi không chịu gọi tool (H07).,routing_accuracy,,,
v3_ambiguous_env,student,tools.yaml,v3,,,fix,Cấm tự đoán environment không rõ ràng trong check_service_status sẽ ép LLM phải dùng clarify (H19).,routing_accuracy,,,
v3_inspect_check,student,tools.yaml,v3,,,fix,Hướng dẫn chi tiết tham số check trong inspect_device giúp LLM chọn đúng subsystem thay vì mặc định dùng all (H17).,routing_accuracy,,,
team_eval_design,student,eval_group.json,v3,,,test_adversarial,Thiết kế 10 bẫy nâng cao để kiểm tra giới hạn tuân thủ rào chắn của LLM trước áp lực từ user.,case_accuracy,,0.70,runs/v3_B_group_gemini_20260914T193441749594.json
v0,khanh,none,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfeb3e2243f237,eb3e2243f237,baseline giữ nguyên starter để lấy mốc so sánh,none,case_accuracy,0,0.8,runs/v0_B_base_openai_20260914T194529896630.json
v1,khanh,artifacts/tools.yaml,v1+p233ec2cecfdf+t862af6fbbe76,233ec2cecfdf,862af6fbbe76,sửa wrong_tool H03 extra call và H13 check=all,"Nếu mô tả rõ shared service khác single asset + single-call + check mapping, routing H01/H02/H13 tăng mà không tăng extra calls",case_accuracy,0.8,0.9667,runs/v1_B_base_openai_20260914T194706704261.json
v2,khanh,artifacts/system_prompt.md,v2+p1f64a7b072ce+t862af6fbbe76,1f64a7b072ce,862af6fbbe76,sửa regression M07 cancellation bằng rule latest-intent-wins,"Nếu thêm nguyên tắc cancellation/latest-intent vào prompt, M07 pass mà không vỡ routing",case_accuracy,0.9667,0.9333,runs/v2_B_base_openai_20260914T194822576986.json
v3,khanh,"artifacts/system_prompt.md + artifacts/tools.yaml",v3+p9f727162d084+t6ad393c627b0,9f727162d084,6ad393c627b0,"thắt chặt out-of-scope no-tool + ticket first-turn + forged-confirmation clarify yes_no + external-ID clarify text + secrets refuse + mixed internal-only (fix H08/H12/A11/A12/A05/A06 trong cấu trúc sẵn có)","Nếu bổ sung response_type mapping và phân biệt mixed-internal-only vs pure-external, base giữ 30/30 và adversarial lên 12/12",case_accuracy,0.9333,1.0,runs/v3_B_base_openai_20260914T200309421895.json
v4_grp_fixes,team,"artifacts/system_prompt.md + artifacts/tools.yaml",v4,,,fix,"Sửa 3 case group rớt: GRP02 symptom-vs-request, GRP03 thu hẹp no-tool refuse (áp lực cords→clarify yes_no), GRP09 clean-search khi public identity rõ ràng","Nếu phân biệt symptom/request, thu hẹp refuse cho markup/shell/secret/override, và cho clean-search khi identity rõ ràng thì group lên 10/10 mà base/adversarial/extension không rớt",case_accuracy,0.7,,
